"Expert","Family","Genus","Species","match_to_tree","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent.","Family.y","Genus.y","Species.y","Genus.b"
"Fabian Michelangeli","Melastomataceae","Desmoscelis","villosa","Melastomataceae_Desmoscelis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","6; 10",NA,NA,NA,"3.5; 5","Melastomataceae","Desmoscelis","villosa","Desmoscelis"
"Darin Penneys","Melastomataceae","Dicellandra","barteri","Melastomataceae_Dicellandra","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","9; 16; 12",NA,NA,NA,"","Melastomataceae","Dicellandra","barteri","Dicellandra"
"Darin Penneys","Melastomataceae","Dichaetanthera","","Melastomataceae_Dichaetanthera","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,1.7,NA,NA,"insects","biotic","11; 40; 20",NA,NA,NA,"","Melastomataceae","Dichaetanthera","","Dichaetanthera"
"Fabian Michelangeli","Melastomataceae","Dicrananthera","hedyotidea","Melastomataceae_Dicrananthera","Melastomatoideae","Marcetieae","dry",100,100,"100",0.6,0.8,NA,NA,"insects","biotic","3; 4",NA,NA,NA,"2; 2.5","Melastomataceae","Dicrananthera","hedyotidea","Dicrananthera"
"Shirley Graham","Lythraceae","Didiplis","diandra","Lythraceae_Didiplis","","","dry",25,45,"35",0.6,0.9,0.2,0.3,"abiotic","abiotic","1.5-2.5 mm",NA,NA,NA,"1.75-2.5 mm; 2mm","Lythraceae","Didiplis","diandra","Didiplis"
"Shirley Graham","Lythraceae","Diplusodon","lanceolatus","Lythraceae_Diplusodon","","","dry",4,72,"38",1,4,1.8,3.5,"insects","biotic","6.5-7 mm",NA,NA,NA,"7.5-8.0 mm","Lythraceae","Diplusodon","lanceolatus","Diplusodon"
"Darin Penneys","Melastomataceae","Dissochaeta","annulata","Melastomataceae_Dissochaeta","Melastomatoideae","Dissochaeteae","fleshy",100,100,"100",0.75,0.75,0.75,0.75,"insects","biotic","27; 43; 35",NA,NA,NA,"","Melastomataceae","Dissochaeta","annulata","Dissochaeta"
"Darin Penneys","Melastomataceae","Dissotis","multiflora","Melastomataceae_Dissotis","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","14; 85; 38",NA,NA,NA,"","Melastomataceae","Dissotis","multiflora","Dissotis"
"Fabian Michelangeli","Melastomataceae","Dolichoura","spiritusanctensis","Melastomataceae_Dolichoura","Melastomatoideae","Cambessedesieae","dry",100,100,"100",1.8,2,NA,NA,"insects","biotic","5; 8",NA,NA,NA,"1.5; 2","Melastomataceae","Dolichoura","spiritusanctensis","Dolichoura"
"Shirley Graham","Lythraceae","Duabanga","grandiflora","Lythraceae_Duabanga","","","dry",100,100,"100",4,5.5,0.5,0.5,"vertebrates","biotic","2.5 cm",NA,NA,NA,"2-2.5 cm","Lythraceae","Duabanga","grandiflora","Duabanga"
"Darin Penneys","Melastomataceae","Dionycha","bojerii","Melastomataceae_Dyonicha","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.7,0.9,NA,NA,"insects","biotic","17; 42; 30",NA,NA,NA,"","Melastomataceae","Dionycha","bojerii","Dyonicha"
"Fabian Michelangeli","Penaeaceae","Endonema","retzioides","Penaeaceae_Endonema","","","dry",NA,NA,NA,NA,NA,NA,NA,"vertebrates","biotic","n/a",NA,NA,NA,"","Penaeaceae","Endonema","retzioides","Endonema"
"Peter Wilson","Myrtaceae","Enekbatus","cryptandroides","Myrtaceae_Enekbatus","Chamelaucieae","Rinziinae","dry",1,2,"",1.1,1.8,NA,NA,"insects","biotic","c. 8 mm",NA,NA,NA,"1.5–2.5 mm","Myrtaceae","Enekbatus","cryptandroides","Enekbatus"
"Peter Hoch","Onagraceae","Epilobium","canum","Onagraceae_Epilobium","Subfam. Onagroideae","Tribe Epilobieae","dry",60,200,"130",1.5,2.6,NA,NA,"insects, vertebrates","biotic","12; 30; c 20 ",12,30,21,"16; 32; c. 25 ","Onagraceae","Epilobium","canum","Epilobium"
"Peter Hoch","Onagraceae","Eremothera","pygmaea","Onagraceae_Eremothera","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",0.9,2.1,NA,NA,"insects","biotic","4; 20; c. 16",4,20,12,"0.5; 8; 1.5","Onagraceae","Eremothera","pygmaea","Eremothera"
"Peter Wilson","Myrtaceae","Ericomyrtus","serpyllifolia","Myrtaceae_Ericomyrtus","Chamelaucieae","Hysterobaeckeinae","dry",8,12,"",0.5,1,NA,NA,"insects","biotic","4–5(–6) mm",NA,NA,NA,"1.5 mm","Myrtaceae","Ericomyrtus","serpyllifolia","Ericomyrtus"
"Fabian Michelangeli","Melastomataceae","Eriocnema","fulva","Melastomataceae_Eriocnema","Melastomatoideae","Eriocnemeae","dry",NA,NA,NA,0.9,0.9,0.9,0.9,"insects","biotic","10; 13",NA,NA,NA,"2; 3","Melastomataceae","Eriocnema","fulva","Eriocnema"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Erisma","arietinum","Vochysiaceae_Erisma","","","Dry",1,1,"1",NA,NA,NA,NA,"insects","biotic","0.5-2 cm long",5,20,12.5,"not measured","Vochysiaceae","Erisma","arietinum","Erisma"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Erismadelphus","exsul","Vochysiaceae_Erismadelphus","","","Dry",1,1,"1",NA,NA,NA,NA,NA,NA,"ca. 0.5 cm long",5,5,5,"not measured","Vochysiaceae","Erismadelphus","exsul","Erismadelphus"
"Fabian Michelangeli","Melastomataceae","Ernestia","maguirei","Melastomataceae_Ernestia","Melastomatoideae","Marcetieae","dry",NA,NA,NA,0.7,0.9,NA,NA,"insects","biotic","8;9",NA,NA,NA,"4.2;4.5","Melastomataceae","Ernestia","maguirei","Ernestia"
"Andrew Thornhill","Myrtaceae","Eucalyptopsis","papuana","Myrtaceae_Eucalyptopsis","Eucalypteae","Mesicalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","4",NA,NA,NA,"","Myrtaceae","Eucalyptopsis","papuana","Eucalyptopsis"
"Andrew Thornhill","Myrtaceae","Eucalyptus","cloeziana","Myrtaceae_Eucalyptus","Eucalypteae","Eucalypt (as per Thornhill et al. 2019); sungenus Idiogenes (as per Nicolle 2018)","Dry",NA,NA,NA,0.7,8,NA,NA,"abiotic/insects/vertebrates","abiotic/biotic","Calyptra",NA,NA,NA,"","Myrtaceae","Eucalyptus","cloeziana","Eucalyptus"
NA,NA,NA,NA,"Myrtaceae_Eugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Eugenia","uniflora","Eugenia"
"Peter Hoch","Onagraceae","Eulobus","californicus","Onagraceae_Eulobus","Subfam. Onagroideae","Tribe Onagreae","dry",48,100,"74",1,2,NA,NA,"insects","biotic","10; 25; 20",10,25,17.5,"0.6; 5; 3","Onagraceae","Eulobus","californicus","Eulobus"
"Peter Wilson","Myrtaceae","Euryomyrtus","maidenii","Myrtaceae_Euryomyrtus","Chamelaucieae","Rinziinae","dry",2,3,"",1.5,2,NA,NA,"insects","biotic","4–7.5 mm",NA,NA,NA,"1.1–1.6 mm long","Myrtaceae","Euryomyrtus","maidenii","Euryomyrtus"
NA,NA,NA,NA,"Myrtaceae_Feijoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Acca","sellowiana","Feijoa"
"Darin Penneys","Melastomataceae","Fordiophyton","strictum","Melastomataceae_Fordiophyton","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,0.9,NA,NA,"insects","biotic","13; 38; 18",NA,NA,NA,"","Melastomataceae","Fordiophyton","strictum","Fordiophyton"
"Fabian Michelangeli","Melastomataceae","Fritzschia","erecta","Melastomataceae_Fritzschia","Melastomatoideae","Marcetieae","dry",100,100,"100",1,1.1,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"2.7; 3","Melastomataceae","Fritzschia","erecta","Fritzschia"
"Peter Hoch","Onagraceae","Fuchsia","excorticata","Onagraceae_Fuchsia","Subfam. Onagroideae","Tribe Circaeeae","fleshy",10,500,"255",1,2.5,NA,NA,"insects, vertebrates","biotic","1; 22; c. 12",1,22,11.5,"2; 130; ?","Onagraceae","Fuchsia","excorticata","Fuchsia"
"Shirley Graham","Lythraceae","Galpinia","transvaalica","Lythraceae_Galpinia","","","dry",3,10,"6.5",3,4.5,2.5,4,NA,NA,"4 mm",NA,NA,NA,"3 mm","Lythraceae","Galpinia","transvaalica","Galpinia"
"Peter Hoch","Onagraceae","Gayophytum","diffusum","Onagraceae_Gayophytum","Subfam. Onagroideae","Tribe Onagreae","dry",8,200,"104",0.7,2.3,NA,NA,"insects","biotic","1; 15; c. 6",1,15,8,"0.2; 1; 0.5","Onagraceae","Gayophytum","diffusum","Gayophytum"
"Olivier Maurin, Ian Turner","Combretaceae","Calycopteris","floribunda","Combretaceae_Getonia","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","1,5; 2,0",NA,NA,NA,"4.5-6 mm","Combretaceae","Calycopteris","floribunda","Getonia"
"Shirley Graham","Lythraceae","Ginoria","nudiflora","Lythraceae_Ginoria","","","dry",50,50,"50",0.5,2.5,0.1,0.6,"insects","biotic","6-8.5, avg. 7.0",NA,NA,NA,"3-18 mm; avg, 8.6","Lythraceae","Ginoria","nudiflora","Ginoria"
"Fabian Michelangeli","Penaeaceae","Glischrocolla","formosa","Penaeaceae_Glischrocolla","","","dry",NA,NA,NA,NA,NA,NA,NA,"vertebrates","biotic","n/a",NA,NA,NA,"","Penaeaceae","Glischrocolla","formosa","Glischrocolla"
"Peter Hoch","Onagraceae","Gongylocarpus","rubricaulis","Onagraceae_Gongylocarpus","Subfam. Onagroideae","Tribe Gongylocarpeae","dry",4,28,"16",NA,NA,NA,NA,"insects","biotic","5; 20; 5-6 and 15-18 (2 spp.)",5,20,12.5,"12; 30; 18","Onagraceae","Gongylocarpus","rubricaulis","Gongylocarpus"
NA,NA,NA,NA,"Myrtaceae_Gossia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Gossia","","Gossia"
"Fabian Michelangeli","Melastomataceae","Graffenrieda","cucullata","Melastomataceae_Graffenrieda","Melastomatoideae","Merianieae","dry",100,100,"100",2.5,3,NA,NA,"insects","biotic","5; 5.5",NA,NA,NA,"6; 7","Melastomataceae","Graffenrieda","cucullata","Graffenrieda"
"Darin Penneys","Melastomataceae","Gravesia","vestita","Melastomataceae_Gravesia","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,1.7,NA,NA,"insects","biotic","4; 52; 26",NA,NA,NA,"","Melastomataceae","Gravesia","vestita","Gravesia"
"Olivier Maurin, Ian Turner","Combretaceae","Guiera","senegalensis","Combretaceae_Guiera","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0,1; 0,2",NA,NA,NA,"3 mm","Combretaceae","Guiera","senegalensis","Guiera"
"Darin Penneys","Melastomataceae","Guyonia","tenella","Melastomataceae_Guyonia","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.8,1.2,NA,NA,"insects","biotic","7; 7; 7",NA,NA,NA,"","Melastomataceae","Guyonia","tenella","Guyonia"
"Shirley Graham","Lythraceae","Heimia","salicifolia","Lythraceae_Heimia","","","dry",50,50,"50",0.5,1,0.3,0.8,"insects","biotic","5-6 mm",NA,NA,NA,"3.5-7.5","Lythraceae","Heimia","salicifolia","Heimia"
"Fabian Michelangeli","Melastomataceae","Henriettea","squamata","Melastomataceae_Henriettea","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.5,0.7,NA,NA,"insects","biotic","8",NA,NA,NA,"5","Melastomataceae","Henriettea","squamata","Henriettea"
"Fabian Michelangeli","Melastomataceae","Henriettella","tovarensis","Melastomataceae_Henriettella","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.6,0.75,NA,NA,"insects","biotic","3.2; 3.4",NA,NA,NA,"2.1; 2.5","Melastomataceae","Henriettella","tovarensis","Henriettella"
"Fabian Michelangeli","Melastomataceae","Heterocentron","elegans","Melastomataceae_Heterocentron","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","14; 16",NA,NA,NA,"3.5; 5","Melastomataceae","Heterocentron","elegans","Heterocentron"
"Peter Wilson","Myrtaceae","Heteropyxis","natalensis","Myrtaceae_Heteropyxis","Heteropyxideae","","dry",10,20,"",1,2,NA,NA,"insects","biotic","2.5–5 mm",NA,NA,NA,"1–1.5 mm","Myrtaceae","Heteropyxis","natalensis","Heteropyxis"
"fabian Michelangeli","Melastomataceae","Heterotis","rotundifolia","Melastomataceae_Heterotis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","1.7; 2.2",NA,NA,NA,"0.6; 0.7","Melastomataceae","Heterotis","rotundifolia","Heterotis"
"Peter Wilson","Myrtaceae","Homalospermum","firmum","Myrtaceae_Homalospermum","Leptospermeae","","dry",4,4,"",2.5,3.5,NA,NA,"insects","biotic","c. 15 mm",NA,NA,NA,"c. 1.5 mm","Myrtaceae","Homalospermum","firmum","Homalospermum"
"Peter Wilson","Myrtaceae","Homoranthus","thomasii","Myrtaceae_Homoranthus","Chamelaucieae","Chamelauciinae","dry",1,1,"",1.5,1.5,NA,NA,"vertebrates","biotic","c. 4 mm",NA,NA,NA,"c. 2 mm","Myrtaceae","Homoranthus","thomasii","Homoranthus"
"Fabian Michelangeli","Melastomataceae","Huberia","consimilis","Melastomataceae_Huberia","Melastomatoideae","Cambessedesieae","dry",100,100,"100",2.4,6.3,NA,NA,"insects","biotic","12; 25",NA,NA,NA,"6; 8","Melastomataceae","Huberia","consimilis","Huberia"
"Peter Wilson","Myrtaceae","Hypocalymma","augustifolium","Myrtaceae_Hypocalymma","Chamelaucieae","Astarteinae","dry",1,3,"",1.5,1.5,NA,NA,"insects","biotic","8–11 mm",NA,NA,NA,"1.5–2 mm ","Myrtaceae","Hypocalymma","augustifolium","Hypocalymma"
NA,NA,NA,NA,"Myrtaceae_Kanakomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Kanakomyrtus","","Kanakomyrtus"
"Peter Wilson","Myrtaceae","Kania","eugenioides","Myrtaceae_Kania","Kanieae","","dry",NA,NA,"",2.5,3,NA,NA,NA,NA,"c. 3.5–4 mm (petals held ± erect)",NA,NA,NA,"1–1.5 mm","Myrtaceae","Kania","eugenioides","Kania"
"Peter Wilson","Myrtaceae","Kardomia","jucunda","Myrtaceae_Kardomia","Chamelaucieae","Hysterobaeckeinae","dry",3,6,"",1,1,NA,NA,"insects","biotic","to 7 mm ",NA,NA,NA,"1.9–2 mm ","Myrtaceae","Kardomia","jucunda","Kardomia"
"Fabian Michelangeli","Melastomataceae","Killipia","peduculata","Melastomataceae_Killipia","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,0.75,NA,NA,"vertebrates","biotic","5; 6",NA,NA,NA,"2; 3.8","Melastomataceae","Killipia","peduculata","Killipia"
"Peter Wilson","Myrtaceae","Kjellbergiodendron","","Myrtaceae_Kjellbergiodendron","Lophostemoneae","","fleshy",1,1,"",18,40,NA,NA,NA,NA,"c. 20 mm",NA,NA,NA,"5–7 mm","Myrtaceae","Kjellbergiodendron","","Kjellbergiodendron"
"Shirley Graham","Lythraceae","Koehneria","madagascariensis","Lythraceae_Koehneria","","","dry",10,30,"20",1.3,1.7,1,1.2,NA,NA,"7-7.5 mm",NA,NA,NA,"8.5 mm","Lythraceae","Koehneria","madagascariensis","Koehneria"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Korupodendron","songweanum","Vochysiaceae_Korupodendron","","","Dry",1,1,"1",NA,NA,NA,NA,NA,NA,"ca. 1 cm long",10,10,10,"not measured","Vochysiaceae","Korupodendron","songweanum","Korupodendron"
"Peter Wilson","Myrtaceae","Kunzea","","Myrtaceae_Kunzea","Leptospermeae","","dry",NA,NA,"",0.5,0.65,NA,NA,"insects","biotic","3–4.5 mm",NA,NA,NA,"2.4–3.2 mm","Myrtaceae","Kunzea","","Kunzea"
"Shirley Graham","Lythraceae","Lagerstroemia","indica","Lythraceae_Lagerstroemia","","","dry",8,72,"40",3,6,4,16,"insects","biotic","10 mm",NA,NA,NA,"10-12 mm","Lythraceae","Lagerstroemia","indica","Lagerstroemia"
"Olivier Maurin, Ian Turner","Combretaceae","Laguncularia","racemosa","Combretaceae_Laguncularia","Combretoideae","Laguncularieae","dry",1,1,"1",10,15,NA,NA,"insects","biotic","0,3; 0,5",NA,NA,NA,"3.5-6.5 mm","Combretaceae","Laguncularia","racemosa","Laguncularia"
"Peter Wilson","Myrtaceae","Lamarchea","hakeifolia","Myrtaceae_Lamarchea","Melaleuceae","","dry",6,9,"",2,3,NA,NA,"vertebrates","biotic","c. 7 mm",NA,NA,NA,"c. 5 mm","Myrtaceae","Lamarchea","hakeifolia","Lamarchea"
"Fabian Michelangeli","Melastomataceae","Lavoisiera","imbricata","Melastomataceae_Lavoisiera","Melastomatoideae","Microlicieae","dry",100,100,"100",1.4,1.7,NA,NA,"insects","biotic","8; 27",NA,NA,NA,"3; 5","Melastomataceae","Lavoisiera","imbricata","Lavoisiera"
"Shirley Graham","Lythraceae","Lawsonia","inermis","Lythraceae_Lawsonia","","","dry",30,50,"40",1.2,2.2,1.3,2,"insects","biotic","3.0 mm",NA,NA,NA,"1.5 mm","Lythraceae","Lawsonia","inermis","Lawsonia"
"Fabian Michelangeli","Melastomataceae","Leandra","subseriata","Melastomataceae_Leandra","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.4,0.5,NA,NA,"insects","biotic","1.5; 2",NA,NA,NA,"1.3; 2","Melastomataceae","Leandra","subseriata","Leandra"
"Fabian Michelangeli","Melastomataceae","Leiostegia","vernicosa","Melastomataceae_Leiostegia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","3.8; 4.2",NA,NA,NA,"4.5-5.5","Melastomataceae","Leiostegia","vernicosa","Leiostegia"
NA,NA,NA,NA,"Myrtaceae_Lenwebbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Lenwebbia","prominens","Lenwebbia"
"Peter Wilson","Myrtaceae","Leptospermum","erubescens","Myrtaceae_Leptospermum","Leptospermeae","","dry",NA,NA,"",1,1.5,NA,NA,"insects","biotic","8–10 mm ",NA,NA,NA,"c. 2–4 mm ","Myrtaceae","Leptospermum","erubescens","Leptospermum"
"Fabian Michelangeli","Melastomataceae","Lijndenia","procteri","Melastomataceae_Lijndenia","Olisbeoideae","Olisbeoideae-OW",NA,NA,NA,NA,NA,NA,NA,NA,"insects","biotic","",NA,NA,NA,"","Melastomataceae","Lijndenia","procteri","Lijndenia"
"Peter Wilson","Myrtaceae","Lindsayomyrtus","racemoides","Myrtaceae_Lindsayomyrtus","Lindsayomyrteae","",NA,1,3,"",10,23,NA,NA,NA,NA,"22–28 mm",NA,NA,NA,"1–1.5 mm","Myrtaceae","Lindsayomyrtus","racemoides","Lindsayomyrtus"
"Darin Penneys","Melastomataceae","Lithobium","cordatum","Melastomataceae_Lithobium","Melastomatoideae","Lithobieae","dry",50,50,"50",0.2,0.3,NA,NA,"insects","biotic","7; 9; 8",NA,NA,NA,"","Melastomataceae","Lithobium","cordatum","Lithobium"
NA,NA,NA,NA,"Myrtaceae_Lithomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Lithomyrtus","grandifolia","Lithomyrtus"
"Peter Hoch","Onagraceae","Lopezia","hirsuta","Onagraceae_Lopezia","Subfam. Onagroideae","Tribe Lopeziaeae","dry",4,120,"62",0.6,2,NA,NA,"insects","biotic","4; 20; c. 10",4,20,12,"0; 20; most 0 or partial fusion","Onagraceae","Lopezia","hirsuta","Lopezia"
NA,NA,NA,NA,"Myrtaceae_Lophomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Lophomyrtus","bullata","Lophomyrtus"
"Peter Wilson","Myrtaceae","Lophostemon","suaveolens","Myrtaceae_Lophostemon","Lophostemoneae","","dry",NA,NA,"",1.5,2,NA,NA,"insects","biotic","7–9 mm",NA,NA,NA,"2.5 mm","Myrtaceae","Lophostemon","suaveolens","Lophostemon"
"Fabian Michelangeli","Melastomataceae","Loreya","subandina","Melastomataceae_Loreya","Melastomatoideae","Henrietteeae","fleshy",100,100,"100",0.85,1,NA,NA,"insects","biotic","13; 15",NA,NA,NA,"5; 6","Melastomataceae","Loreya","subandina","Loreya"
"Fabian Michelangeli","Melastomataceae","Loricalepis","duckei","Melastomataceae_Loricalepis","Melastomatoideae","Melastomateae","dry",NA,NA,NA,NA,NA,NA,NA,"insects","biotic","1.5; 1.7",NA,NA,NA,"5; 6","Melastomataceae","Loricalepis","duckei","Loricalepis"
"Shirley Graham","Lythraceae","Lourtella","resinosa","Lythraceae_Lourtella","","","dry",30,50,"40",0.8,1,0.5,0.7,NA,NA,"3.5 mm",NA,NA,NA,"3-3.5 mm","Lythraceae","Lourtella","resinosa","Lourtella"
"Peter Hoch","Onagraceae","Ludwigia","octovalvis","Onagraceae_Ludwigia","Subfam. Ludwigioideae","","dry",50,400,"225",0.5,1.5,NA,NA,"insects","biotic","2; 55; c. 20",2,55,28.5,"0 (no hypan.)","Onagraceae","Ludwigia","octovalvis","Ludwigia"
NA,NA,NA,NA,"Myrtaceae_Luma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Luma","apiculata","Luma"
"Olivier Maurin, Ian Turner","Combretaceae","Lumnitzera","racemosa","Combretaceae_Lumnitzera","Combretoideae","Laguncularieae","fleshy",1,1,"1",10,15,NA,NA,"insects","biotic","0,8; 1,0",NA,NA,NA,"6-7 mm","Combretaceae","Lumnitzera","racemosa","Lumnitzera"
"Peter Wilson","Myrtaceae","Lysicarpus","angustifolius","Myrtaceae_Lysicarpus","Kanieae","","dry",3,9,"",5.5,6,NA,NA,"insects","biotic","c. 10 mm",NA,NA,NA,"2.5–3 mm","Myrtaceae","Lysicarpus","angustifolius","Lysicarpus"
"Shirley Graham","Lythraceae","Lythrum","alatum","Lythraceae_Lythrum","","","dry",8,60,"34",0.4,0.8,0.3,0.7,"insects","biotic","0.5-2 mm",NA,NA,NA,"3-8 mm","Lythraceae","Lythrum","alatum","Lythrum"
"Fabian Michelangeli","Melastomataceae","Macairea","pachyphylla","Melastomataceae_Macairea","Melastomatoideae","Marcetieae","dry",100,100,"100",0.6,0.7,NA,NA,"insects","biotic","7; 8.5",NA,NA,NA,"1.5; 2","Melastomataceae","Macairea","pachyphylla","Macairea"
"Fabian Michelangeli","Melastomataceae","Macrocentrum","repens","Melastomataceae_Macrocentrum","Melastomatoideae","Merianieae","dry",100,100,"100",0.45,0.55,NA,NA,"insects","biotic","4.5",NA,NA,NA,"2","Melastomataceae","Macrocentrum","repens","Macrocentrum"
"Olivier Maurin, Ian Turner","Combretaceae","Macropteranthes","montana","Combretaceae_Macropteranthes","Combretoideae","Laguncularieae","dry",1,1,"1",6,10,NA,NA,"insects","biotic","0,5; 0,8",NA,NA,NA,"5-7 mm","Combretaceae","Macropteranthes","montana","Macropteranthes"
"Fabian Michelangeli","Melastomataceae","Maieta","poeppiggii","Melastomataceae_Maieta","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","5; 8.5",NA,NA,NA,"5; 6","Melastomataceae","Maieta","poeppiggii","Maieta"
"Peter Wilson","Myrtaceae","Malleostemon","","Myrtaceae_Malleostemon","Chamelaucieae","Hysterobaeckeinae","dry",1,1,"",1.5,1.5,NA,NA,"insects","biotic","4–5 mm",NA,NA,NA,"2–2.5 mm","Myrtaceae","Malleostemon","","Malleostemon"
"Fabian Michelangeli","Melastomataceae","Marcetia","taxifolia","Melastomataceae_Marcetia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","5; 7",NA,NA,NA,"2.5; 3","Melastomataceae","Marcetia","taxifolia","Marcetia"
"Fabian Michelangeli","Melastomataceae","Mecranium","haemanthum","Melastomataceae_Mecranium","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.35,0.4,NA,NA,NA,NA,"2.9; 3.3",NA,NA,NA,"3.3","Melastomataceae","Mecranium","haemanthum","Mecranium"
"Darin Penneys","Melastomataceae","Medinilla","crassifolia","Melastomataceae_Medinilla","Melastomatoideae","Sonerileae","fleshy",100,100,"100",0.4,2,NA,NA,"insects","biotic","7; 53; 25",NA,NA,NA,"","Melastomataceae","Medinilla","crassifolia","Medinilla"
"Peter Wilson","Myrtaceae","Callistemon","comboynensis","Myrtaceae_Melaleuca","Melaleuceae","","dry",NA,NA,"",1,1.5,NA,NA,"vertebrates","biotic","8.5–10.5 mm",NA,NA,NA,"4–5 mm","Myrtaceae","Callistemon","comboynensis","Melaleuca"
"Darin Penneys","Melastomataceae","Melastoma","malabathricum","Melastomataceae_Melastoma","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.9,0.9,0.9,0.9,"insects","biotic","13; 92; 50",NA,NA,NA,"","Melastomataceae","Melastoma","malabathricum","Melastoma"
"Darin Penneys","Melastomataceae","Melastomastrum","theifolium","Melastomataceae_Melastomastrum","Melastomatoideae","Melastomeae-OW","dry",100,100,"100",0.5,0.6,NA,NA,"insects","biotic","22; 55",NA,NA,NA,"","Melastomataceae","Melastomastrum","theifolium","Melastomastrum"
"Fabian Michelangeli","Melastomataceae","Memecylon","rheophyticum","Melastomataceae_Memecylon","Olisbeoideae","Olisbeoideae-OW","fleshy",1,1,"",NA,NA,NA,NA,"insects","biotic","2; 2.5",NA,NA,NA,"2.5; 3","Melastomataceae","Memecylon","rheophyticum","Memecylon"
"Fabian Michelangeli","Melastomataceae","Meriania","albiflora","Melastomataceae_Meriania","Melastomatoideae","Merianieae","dry",100,100,"100",1.2,1.4,NA,NA,NA,NA,"23.7; 24.7",NA,NA,NA,"4; 4.5","Melastomataceae","Meriania","albiflora","Meriania"
"Fabian Michelangeli","Melastomataceae","Merianthera","bullata","Melastomataceae_Merianthera","Melastomatoideae","Cambessedesieae","dry",100,100,"100",1,1.5,NA,NA,"insects","biotic","14; 25",NA,NA,NA,"7; 10","Melastomataceae","Merianthera","bullata","Merianthera"
"Peter Wilson","Myrtaceae","Metrosideros","tomentosa","Myrtaceae_Metrosideros","Metrosidereae","","dry",NA,NA,"",2,3,NA,NA,"insects, vertebrates","biotic","9–12 mm",NA,NA,NA,"5–6 mm (excluding sepals 2 mm)","Myrtaceae","Metrosideros","tomentosa","Metrosideros"
"Fabian Michelangeli","Melastomataceae","Miconia","albicans","Melastomataceae_Miconia","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.8,0.9,NA,NA,"insects","biotic","2.5; 3",NA,NA,NA,"2","Melastomataceae","Miconia","albicans","Miconia"
