Expert,Family,Genus,Species,match_to_tree,Major.Group,Minor.Group,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,Hypanthium.length..min...max...prevalent.,Family.y,Genus.y,Species.y
NA,NA,NA,NA,Myrtaceae_Myrcia_tomentosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrcia,tomentosa
NA,NA,NA,NA,Myrtaceae_Myrcianthes_fragrans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrcianthes,fragrans
Thiago Flores,Myrtaceae,Myrciaria,disticha,Myrtaceae_Myrciaria_disticha,Myrteae,Pliniinae,Fleshy,1,2,1.5,3,15,2,10,insects,biotic,Tetramery,NA,NA,NA,"0,5-3,5 mm;  prevalent 1,5-2,5 mm",Myrtaceae,Myrciaria,disticha
Fabian Michelangeli,Melastomataceae,Myriaspora,egensis,Melastomataceae_Myriaspora_egensis,Melastomatoideae,Henrietteeae,fleshy,100,100,100,0.4,0.5,NA,NA,insects,biotic,8; 12,NA,NA,NA,7,Melastomataceae,Myriaspora,egensis
NA,NA,NA,NA,Myrtaceae_Myrrhinium_atropurpureum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrrhinium,atropurpureum
NA,NA,NA,NA,Myrtaceae_Myrtastrum_rufopunctatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrtastrum,rufopunctatum
NA,NA,NA,NA,Myrtaceae_Myrtella_beccarii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrtella,beccarii
NA,NA,NA,NA,Myrtaceae_Myrteola_acerosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrteola,nummularia
Karinne Valdemarin,Myrtaceae,Myrtus,communis,Myrtaceae_Myrtus_communis,Myrteae,Myrtinae,fleshy,10,12,11,2,4,NA,NA,insects,biotic,?,NA,NA,NA,absent,Myrtaceae,Myrtus,communis
Fabian Michelangeli,Melastomataceae,Necranium,gigantophyllum,Melastomataceae_Necramium_gigantophyllum,Melastomatoideae,Miconieae,fleshy,100,100,100,0.5,0.62,NA,NA,insects,biotic,2.3; 2.5,NA,NA,NA,2,Melastomataceae,Necranium,gigantophyllum
Peter Wilson,Myrtaceae,Neofabricia,myrtifolia,Myrtaceae_Neofabricia_myrtifolia,Leptospermeae,,dry,8,12,,2,2.5,NA,NA,insects,biotic,22–28 mm,NA,NA,NA,4–5 mm,Myrtaceae,Neofabricia,myrtifolia
Peter Hoch,Onagraceae,Neoholmgrenia,andina,Onagraceae_Neoholmgrenia_andina_Camissonia,Subfam. Onagroideae,Tribe Onagreae,dry,32,80,56,0.7,1.3,NA,NA,insects,biotic,2; 10; 7,2,10,6,1.5-2/ 0.8-2 (only 2 sp.),Onagraceae,Neoholmgrenia,andina
Aline Stadnik,Myrtaceae,Neomitranthes,cordifolia,Myrtaceae_Neomitranthes_cordifolia,Myrteae,Siphoneugena,fleshy,1,4,2.5,NA,NA,NA,NA,insects,biotic,"0.5 - 2,5 mm",0.5,2.5,1.5,"1 - 4,5 mm",Myrtaceae,Neomitranthes,cordifolia
Fabian Michelangeli,Melastomataceae,Nepsera,aquatica,Melastomataceae_Nepsera_aquatica,Melastomatoideae,Marcetieae,dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,4.5; 7,NA,NA,NA,1.8; 2,Melastomataceae,Nepsera,aquatica
Fabian Michelangeli,Melastomataceae,Noterophila,bivalvis,Melastomataceae_Noterophila_bivalvis,Melastomatoideae,Marcetieae,dry,100,100,100,0.5,0.75,NA,NA,insects,biotic,6; 12,NA,NA,NA,2.5; 4,Melastomataceae,Noterophila,bivalvis
Peter Wilson,Myrtaceae,Ochrosperma,lineare,Myrtaceae_Ochrosperma_lineare,Chamelaucieae,Ochrospermatinae,dry,3,3,,1.3,1.3,NA,NA,insects,biotic,c. 2.5 mm,NA,NA,NA,1–1.5 mm,Myrtaceae,Ochrosperma,lineare
Fabian Michelangeli,Melastomataceae,Ochthephilus,repentinus,Melastomataceae_Ochthephilus_repentinus,Melastomatoideae,Eriocnemeae,dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,18.5; 19.5,NA,NA,NA,4.5,Melastomataceae,Ochthephilus,repentinus
NA,NA,NA,NA,Myrtaceae_Octamyrtus_pleiopetala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Octamyrtus,pleiopetala
Peter Hoch,Onagraceae,Oenothera,glazioviana,Onagraceae_Oenothera_glazioviana,Subfam. Onagroideae,Tribe Onagreae,dry,1,200,100.5,0.5,8,NA,NA,insects,biotic,3; 120; c. 40,3,120,61.5,1; 265; ?c. 50,Onagraceae,Oenothera,glazioviana
Fabian Michelangeli,Penaeaceae,Olinia,,Penaeaceae_Olinia_,,,fleshy,1,1,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,Penaeaceae,Olinia,
Fabian Michelangeli,Melastomataceae,Opisthocentra,clidemioides,Melastomataceae_Opisthocentra_clidemioides,Melastomatoideae,Sonerileae,dry,100,100,100,0.5,0.7,NA,NA,insects,biotic,7; 9,NA,NA,NA,8; 9,Melastomataceae,Opisthocentra,clidemioides
Darin Penneys,Melastomataceae,Osbeckia,stellata,Melastomataceae_Osbeckia_stellata,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.35,0.9,NA,NA,insects,biotic,11; 65; 40,NA,NA,NA,,Melastomataceae,Osbeckia,stellata
Fabian Michelangeli,Melastomataceae,Ossaea,amygdaloides,Melastomataceae_Ossaea_amygdaloides,Melastomatoideae,Miconieae,fleshy,100,100,100,0.8,1.2,NA,NA,insects,biotic,2.5; 5,NA,NA,NA,4.5; 7,Melastomataceae,Ossaea,amygdaloides
Peter Wilson,Myrtaceae,Oxymyrrhine,gracilis,Myrtaceae_Oxymyrrhine_gracilis_Baeckea,Chamelaucieae,Hysterobaeckeinae,dry,NA,NA,,0.6,0.8,NA,NA,insects,biotic,6–10 mm,NA,NA,NA,1.6–2.5 mm long,Myrtaceae,Oxymyrrhine,gracilis
Darin Penneys,Melastomataceae,Oxyspora,cordata,Melastomataceae_Oxyspora_cordata_Anerincleistus,Melastomatoideae,Sonerileae,dry,100,100,100,0.7,1,NA,NA,insects,biotic,3; 25; 9,NA,NA,NA,,Melastomataceae,Oxyspora,cordata
Fabian Michelangeli,Melastomataceae,Pachyanthus,moensis,Melastomataceae_Pachyanthus_moensis,Melastomatoideae,Miconieae,fleshy,20,24,22,1.8,2,NA,NA,insects,biotic,3; 4.5,NA,NA,NA,2.5,Melastomataceae,Pachyanthus,moensis
Fabian Michelangeli,Melastomataceae,Pachyloma,huberioides,Melastomataceae_Pachyloma_huberioides,Melastomatoideae,Rhexieae,dry,100,100,100,0.9,1,NA,NA,insects,biotic,15; 20,NA,NA,NA,6; 12,Melastomataceae,Pachyloma,huberioides
Shirley Graham,Lythraceae,Pehria,compacta,Lythraceae_Pehria_compacta,,,dry,50,50,50,0.7,0.9,0.3,0.5,NA,NA,5.0-6.0 mm,NA,NA,NA,6.5-7.5 mm,Lythraceae,Pehria,compacta
Shirley Graham,Lythraceae,Pemphis,acidula,Lythraceae_Pemphis_acidula,,,dry,15,20,17.5,2.5,3,1.7,2,vertebrates,biotic,7.0-7.5 mm,NA,NA,NA,5-6 mm,Lythraceae,Pemphis,acidula
Fabian Michelangeli,Penaeaceae,Penaea,mucronata,Penaeaceae_Penaea_mucronata,,,dry,NA,NA,NA,2,2.2,NA,NA,NA,NA,n/a,NA,NA,NA,5; 7,Penaeaceae,Penaea,mucronata
Peter Wilson,Myrtaceae,Pericalymma,spongiocaule,Myrtaceae_Pericalymma_spongiocaule,Leptospermeae,,dry,3,3,,1.2,2,NA,NA,insects,biotic,8–13 mm ,NA,NA,NA,3–4 mm (excle. Sepals 1–2.5 mm),Myrtaceae,Pericalymma,spongiocaule
Fabian Michelangeli,Melastomataceae,Phainantha,laxiflora,Melastomataceae_Phainantha_laxiflora,Melastomatoideae,Sonerileae,dry,100,100,100,2,2,2,2,insects,biotic,6; 7,NA,NA,NA,6,Melastomataceae,Phainantha,laxiflora
Darin Penneys,Melastomataceae,Phyllagathis,elliptica,Melastomataceae_Phyllagathis_elliptica,Melastomatoideae,Sonerileae,dry,100,100,100,0.3,2,NA,NA,insects,biotic,3; 39; 20,NA,NA,NA,,Melastomataceae,Phyllagathis,elliptica
Shirley Graham,Lythraceae,Physocalymma,scaberrimum,Lythraceae_Physocalymma_scaberrimum,,,dry,50,50,50,3.2,4.2,2.7,4,NA,NA,11-15 mm,NA,NA,NA,10-13 mm,Lythraceae,Physocalymma,scaberrimum
Peter Wilson,Myrtaceae,Pileanthus,limacis,Myrtaceae_Pileanthus_limacis,Chamelaucieae,Chamelauciinae,dry,1,1,,NA,2,NA,NA,insects,biotic,10–12 mm,NA,NA,NA,4.5–5 mm,Myrtaceae,Pileanthus,limacis
NA,NA,NA,NA,Myrtaceae_Pilidiostigma_tropicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Pilidiostigma,tropicum
Fabian Michelangeli,Melastomataceae,Pilocosta,oerstedii,Melastomataceae_Pilocosta_oerstedii,Melastomatoideae,Melastomateae,dry,100,100,100,0.5,0.5,0.5,0.5,insects,biotic,7; 12,NA,NA,NA,4.5; 6,Melastomataceae,Pilocosta,oerstedii
Karinne Valdemarin,Myrtaceae,Pimenta,pseudocaryophyllus,Myrtaceae_Pimenta_pseudocaryophyllus,Myrteae,Pimentinae,fleshy,1,3,2,4,8,NA,NA,insects,biotic,?,NA,NA,NA,absent,Myrtaceae,Pimenta,pseudocaryophyllus
Fabian Michelangeli,Melastomataceae,Pleiochiton,blepharodes,Melastomataceae_Pleiochiton_blepharodes,Melastomatoideae,Miconieae,fleshy,150,150,150,0.6,0.9,NA,NA,insects,biotic,4; 8,NA,NA,NA,2.7; 4.5,Melastomataceae,Pleiochiton,blepharodes
Fabian Michelangeli,Melastomataceae,Pleroma,angustifolium,Melastomataceae_Pleroma_angustifolium,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,1.5; 2,NA,NA,NA,4.5,Melastomataceae,Pleroma,angustifolium
Darin Penneys,Melastomataceae,Plethiandra,hookeri,Melastomataceae_Plethiandra_robusta,Melastomatoideae,Sonerileae,dry,100,100,100,0.5,1,NA,NA,insects,biotic,9; 23; 13,NA,NA,NA,,Melastomataceae,Plethiandra,hookeri
Peter Wilson,Myrtaceae,Pleurocalyptus,pancheri,Myrtaceae_Pleurocalyptus_pancheri,Xanthostemoneae,,dry,NA,NA,,4,5,NA,NA,NA,NA,30–45 mm,NA,NA,NA,11–15 mm,Myrtaceae,Pleurocalyptus,pancheri
Shirley Graham,Lythraceae,Pleurophora,anomala,Lythraceae_Pleurophora_anomala,,,dry,3,100,51.5,0.6,1,0.4,0.5,insects,biotic,2-4 mm,NA,NA,NA,4-16 mm,Lythraceae,Pleurophora,anomala
Aline Stadnik,Myrtaceae,Plinia,silvestris,Myrtaceae_Plinia_pinnata,Myrteae,Myrciariopsis,fleshy,1,2,1.5,NA,NA,NA,NA,insects,biotic,0.8 - 4 mm ,0.8,4,2.4,1.0 - 2.5 mm,Myrtaceae,Plinia,silvestris
Fabian Michelangeli,Melastomataceae,Poteranthera,pussila,Melastomataceae_Potheranthera_pusilla,Melastomatoideae,Microlicieae,dry,50,50,50,0.8,0.8,0.8,0.8,insects,biotic,3,NA,NA,NA,1,Melastomataceae,Poteranthera,pussila
NA,NA,NA,NA,Myrtaceae_Pseudanamomis_umbellulifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Pseudanamomis,umbellulifera
Fabian Michelangeli,Melastomataceae,Pseudoernestia,glandulosa,Melastomataceae_Pseudoernestia_glandulosa,Melastomatoideae,Marcetieae,dry,50,50,50,0.8,0.8,0.8,0.8,insects,biotic,5; 8,NA,NA,NA,2.7; 3.3,Melastomataceae,Pseudoernestia,glandulosa
Carolyn Proença,Myrtaceae,Psidium,,Myrtaceae_Psidium_sp,Myrteae,Pimentinae,fleshy,3,250,126.5,2,9.5,NA,NA,insects,biotic,10mm; 40mm,10,40,25,0; 1mm,Myrtaceae,Psidium,
Peter Wilson,Myrtaceae,Psiloxylon,mauritianum,Myrtaceae_Psiloxylon_mauritianum,Psiloxyleae,,fleshy,NA,NA,,0.6,0.8,NA,NA,insects,biotic,4.5–5 mm,NA,NA,NA,2–3 mm ,Myrtaceae,Psiloxylon,mauritianum
Darin Penneys,Melastomataceae,Pternandra,azurea,Melastomataceae_Pternandra_azurea_Kibessia,Melastomatoideae (unless data prove Olisbeoideae),Pternandreae,fleshy,100,100,100,0.5,1.25,NA,NA,insects,biotic,4; 28; 15,NA,NA,NA,,Melastomataceae,Pternandra,azurea
Fabian Michelangeli,Melastomataceae,Pterogastra,divaricata,Melastomataceae_Pterogastra_divaricata,Melastomatoideae,Melastomateae,dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,12; 15,NA,NA,NA,7; 8,Melastomataceae,Pterogastra,divaricata
Fabian Michelangeli,Melastomataceae,Pterolepis,glomerata,Melastomataceae_Pterolepis_glomerata,Melastomatoideae,Melastomateae,dry,100,100,100,0.4,0.5,NA,NA,insects,biotic,10; 12,NA,NA,NA,3.5; 5,Melastomataceae,Pterolepis,glomerata
Shirley Graham,Lythraceae,Punica,protopunica,Lythraceae_Punica_protopunica,,,fleshy,100,1000,550,4,4.6,1.8,2,"insects, vertebrates",biotic,ca. 2.0 cm,NA,NA,NA,"ca. 2.0 cm, in P. granatum 2-3 cm",Lythraceae,Punica,protopunica
Peter Wilson,Myrtaceae,Purpureostemon,ciliatum,Myrtaceae_Purpureostemon_ciliatum,Xanthostemoneae,,dry,NA,NA,,4.5,6,NA,NA,vertebrates,biotic,12–18 mm ,NA,NA,NA,2.5–3 mm (excl. sepals 4–5 mm),Myrtaceae,Purpureostemon,ciliatum
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Qualea,parviflora,Vochysiaceae_Qualea_cryptantha,,,Dry,3,30,16.5,10,45,5,15,insects,biotic,0.9-7 cm long,9,70,39.5,not measured,Vochysiaceae,Qualea,parviflora
Fabian Michelangeli,Melastomataceae,Quipuanthus,epipetricus,Melastomataceae_Quipuanthus_epipetricus,Melastomatoideae,Cyphostyleae,dry,100,100,100,0.6,1.2,NA,NA,insects,biotic,14; 17,NA,NA,NA,5.8; 8.1,Melastomataceae,Quipuanthus,epipetricus
Fabian Michelangeli,Melastomataceae,Rhexia,virginica,Melastomataceae_Rhexia_virginica,Melastomatoideae,Rhexieae,dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,10; 18,NA,NA,NA,6; 7,Melastomataceae,Rhexia,virginica
NA,NA,NA,NA,Myrtaceae_Rhodamnia_cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Rhodamnia,cinerea
NA,NA,NA,NA,Myrtaceae_Rhodomyrtus_tomentosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Rhodomyrtus,tomentosus
Fabian Michelangeli,Melastomataceae,Rhynchanthera,grandiflora,Melastomataceae_Rhynchanthera_grandiflora,Melastomatoideae,Microlicieae,dry,100,100,100,0.5,0.65,NA,NA,insects,biotic,15; 25,NA,NA,NA,5; 6,Melastomataceae,Rhynchanthera,grandiflora
Fabian Michelangeli,Penaeaceae,Rhynchocalyx,lawsonioides,Penaeaceae_Rhynchocalyx_lawsonioides,,,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,,Penaeaceae,Rhynchocalyx,lawsonioides
Peter Wilson,Myrtaceae,Rinzia,carnosa,Myrtaceae_Rinzia_carnosa,Chamelaucieae,Rinziinae,dry,1,3,,1.4,1.5,NA,NA,insects,biotic,5.5–7.5 mm,NA,NA,NA,1–1.25 mm,Myrtaceae,Rinzia,carnosa
Peter Wilson,Myrtaceae,Ristantia,gouldii,Myrtaceae_Ristantia_gouldii,Kanieae,,dry,1,3,,5,7,NA,NA,NA,NA,c. 6 mm,NA,NA,NA,c. 2.5 mm (excluding sepals 1.5 mm long),Myrtaceae,Ristantia,gouldii
Shirley Graham,Lythraceae,Rotala,ramosior,Lythraceae_Rotala_ramosior,,,dry,30,300,165,0.3,0.7,0.2,0.4,insects,biotic,2.5 mm,NA,NA,NA,3.3-4.5 mm,Lythraceae,Rotala,ramosior
Darin Penneys,Melastomataceae,Rousseauxia,madagascariensis,Melastomataceae_Rousseauxia_madagascariensis,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.4,1,NA,NA,insects,biotic,32; 40; 35,NA,NA,NA,,Melastomataceae,Rousseauxia,madagascariensis
Fabian Michelangeli,Melastomataceae,Rupestrea,johnwurdackiana,Melastomataceae_Rupestrea_johnwurdackiana,Melastomatoideae,UNPLACED,dry,3,4,7.5,3,3.5,NA,NA,insects,biotic,5.7; 7.7,NA,NA,NA,2.5; 3,Melastomataceae,Rupestrea,johnwurdackiana
Fabian Michelangeli,Melastomataceae,Salpinga,peruviana,Melastomataceae_Salpinga_maranoensis,Melastomatoideae,Merianieae,dry,50,50,50,0.7,0.9,NA,NA,insects,biotic,15; 17,NA,NA,NA,7,Melastomataceae,Salpinga,peruviana
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Salvertia,convallariodora,Vochysiaceae_Salvertia_convallariodora,,,Dry,3,3,3,4,4,10,12,insects,biotic,1.9-2.6 cm long,19,26,22.5,not measured,Vochysiaceae,Salvertia,convallariodora
Fabian Michelangeli,Melastomataceae,Sandemania,hoehnei,Melastomataceae_Sandemania_hoehnei,Melastomatoideae,Marcetieae,dry,100,100,100,0.8,0.9,NA,NA,insects,biotic,3; 5,NA,NA,NA,2.2; 3,Melastomataceae,Sandemania,hoehnei
Peter Wilson,Myrtaceae,Sannantha,crassa,Myrtaceae_Sannantha_crassa,Chamelaucieae,Hysterobaeckeinae,dry,NA,NA,,0.6,0.6,NA,NA,insects,biotic,to 7 mm,NA,NA,NA,2–2.5 mm,Myrtaceae,Sannantha,crassa
Darin Penneys,Melastomataceae,Sarcopyramis,napalensis,Melastomataceae_Sarcopyramis_napalensis,Melastomatoideae,Sonerileae,dry,100,100,100,0.6,1,NA,NA,insects,biotic,10; 27; 18,NA,NA,NA,,Melastomataceae,Sarcopyramis,napalensis
Peter Wilson,Myrtaceae,Scholtzia,uberiflora,Myrtaceae_Scholtzia_uberiflora,Chamelaucieae,Hysterobaeckeinae,dry,1,1,,0.8,1.9,NA,NA,insects,biotic,5–6.5 mm ,NA,NA,NA,1–1.5 mm,Myrtaceae,Scholtzia,uberiflora
Fabian Michelangeli,Melastomataceae,Schwackaea,cupheoides,Melastomataceae_Schwackaea_cupheoides,Melastomatoideae,Melastomateae,dry,50,50,50,0.5,0.6,NA,NA,insects,biotic,5; 7,NA,NA,NA,7; 8,Melastomataceae,Schwackaea,cupheoides
Peter Wilson,Myrtaceae,Seorsus,clavifolius,Myrtaceae_Seorsus_clavifolius_Astartea,Chamelaucieae,Astarteinae,dry,5,12,,1.2,1.4,NA,NA,insects,biotic,9–12 mm,NA,NA,NA,1.8–2.5 mm,Myrtaceae,Seorsus,clavifolius
Fabian Michelangeli,Melastomataceae,Siphanthera,hostmanii,Melastomataceae_Siphanthera_hostmannii,Melastomatoideae,Marcetieae,dry,100,100,100,0.45,0.5,NA,NA,insects,biotic,1.5; 2,NA,NA,NA,2; 3,Melastomataceae,Siphanthera,hostmanii
Carolyn Proença,Myrtaceae,Siphoneugena,guifoyleana,Myrtaceae_Siphoneugena_guilfoyleiana,Myrteae,Pliniinae,fleshy,1,4,2.5,7,7,NA,NA,insects,biotic,3mm; 7mm; 5mm,3,7,5,1.5; 4mm; 2-3mm,Myrtaceae,Siphoneugena,guifoyleana
Fabian Michelangeli,Penaeaceae,Sonderothamnus,petraeus,Penaeaceae_Sonderothamnus_petraeus,,,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,7; 8,Penaeaceae,Sonderothamnus,petraeus
Darin Penneys,Melastomataceae,Sonerila,plagiocardia,Melastomataceae_Sonerila_cantonensis,Melastomatoideae,Sonerileae,dry,50,50,50,0.4,0.8,NA,NA,insects,biotic,7; 36; 17,NA,NA,NA,,Melastomataceae,Sonerila,plagiocardia
Shirley Graham,Lythraceae,Sonneratia,,Lythraceae_Sonneratia_,,,fleshy,100,1000,550,5,12,4,10,vertebrates,biotic,1.5-3.0 cm,NA,NA,NA,1.5-3.0 cm,Lythraceae,Sonneratia,
Darin Penneys,Melastomataceae,Spathandra,blakeoides,Melastomataceae_Spathandra_blakeoides,Olisbeoideae ,Olisbeoideae,fleshy,1,2,1.5,2,3,NA,NA,insects,biotic,5,NA,NA,NA,,Melastomataceae,Spathandra,blakeoides
Peter Wilson,Myrtaceae,Sphaerantia,discolor,Myrtaceae_Sphaerantia_discolor,Kanieae,,dry,1,3,,5,6,NA,NA,NA,NA,10–12 mm,NA,NA,NA,c. 4 mm (excluding sepals 1.5–2.5 mm long),Myrtaceae,Sphaerantia,discolor
Fabian Michelangeli,Melastomataceae,Stenodon,suberosus,Melastomataceae_Stenodon_suberosus,Melastomatoideae,Microlicieae,dry,100,100,100,0.6,0.8,NA,NA,insects,biotic,20; 30,NA,NA,NA,6; 7,Melastomataceae,Stenodon,suberosus
Peter Wilson,Myrtaceae,Stenostegia,congesta,Myrtaceae_Stenostegia_congesta,Chamelaucieae,Stenostegiinae,dry,6,9,,0.6,0.6,NA,NA,insects,biotic,5 mm,NA,NA,NA,1.8–2 mm,Myrtaceae,Stenostegia,congesta
Andrew Thornhill,Myrtaceae,Stockwellia,quadrifida,Myrtaceae_Stockwellia_quadrifida,Eucalypteae,Mesicalypt (as per Thornhill et al. 2019),Dry,NA,NA,NA,8,11,5,6,insects,biotic,4,NA,NA,NA,,Myrtaceae,Stockwellia,quadrifida
"Olivier Maurin, Ian Turner",Combretaceae,Strephonema,mannii,Combretaceae_Strephonema_mannii,Strephonematoideae,,fleshy,1,1,1,50,70,NA,NA,insects,biotic,"0,4; 0,8",NA,NA,NA,3 mm,Combretaceae,Strephonema,mannii
Fabian Michelangeli,Penaeaceae,Stylapterus,micranthus,Penaeaceae_Stylapterus_micranthus,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,,Penaeaceae,Stylapterus,micranthus
Darin Penneys,Melastomataceae,Styrophyton,caudatum,Melastomataceae_Styrophyton_caudatum,Melastomatoideae,Sonerileae,dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,3; 3; 3,NA,NA,NA,,Melastomataceae,Styrophyton,caudatum
Fabian Michelangeli,Melastomataceae,Svitramia,wurdackiana,Melastomataceae_Svitramia_wurdackiana,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.6,0.6,0.6,insects,biotic,13; 16,NA,NA,NA,4; 5,Melastomataceae,Svitramia,wurdackiana
Peter Wilson,Myrtaceae,Syncarpia,glomulifera,Myrtaceae_Syncarpia_glomulifera,Syncarpieae,,dry,NA,NA,,1.5,3,NA,NA,"insects, vertebrates",biotic,9–12 mm,NA,NA,NA,2–2.5 mm,Myrtaceae,Syncarpia,glomulifera
Yee Wen Low,Myrtaceae,Syzygium,acuminatissimum,Myrtaceae_Syzygium_acuminatissimum_Acmena,Syzygieae,"subgenus Acmena, sect. Acmena",Fleshy,1,1,1,NA,10,NA,NA,Insects,biotic,4; 5,NA,NA,NA,10mm; 15mm,Myrtaceae,Syzygium,acuminatissimum
Peter Wilson,Myrtaceae,Taxandria,,Myrtaceae_Taxandria_,Leptospermeae,,dry,3,3,,1,1,NA,NA,insects,biotic,3.5–6,NA,NA,NA,0.7–2 mm ,Myrtaceae,Taxandria,
"Olivier Maurin, Ian Turner",Combretaceae,Terminalia,ankaranensis,Combretaceae_Terminalia_ankaranensis,Combretoideae,Combreteae / Terminaliinae,dry,1,1,1,5,40,NA,NA,insects,biotic,absent,NA,NA,NA,2.5 mm,Combretaceae,Terminalia,ankaranensis
Fabian Michelangeli,Melastomataceae,Tessmannianthus,quadridomius,Melastomataceae_Tessmannianthus_quadridomius,Melastomatoideae,Astronieae,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,8.5,Melastomataceae,Tessmannianthus,quadridomius
Peter Wilson,Myrtaceae,Tetrapora,preissiana,Myrtaceae_Tetrapora_preissiana_Baeckea,Chamelaucieae,Hysterobaeckeinae,dry,NA,NA,,0.4,1.1,NA,NA,insects,biotic,5.5–6.5 mm ,NA,NA,NA,0.7–1 mm ,Myrtaceae,Tetrapora,preissiana
Peter Hoch,Onagraceae,Tetrapteron,palmeri,Onagraceae_Tetrapteron_palmeri_Camissonia,Subfam. Onagroideae,Tribe Onagreae,dry,8,36,22,1.2,2,NA,NA,insects,biotic,4; 30; c. 12,4,30,17,0.8-1.3/ 1.6-3.2 (2 spp.),Onagraceae,Tetrapteron,palmeri
Shirley Graham,Lythraceae,Tetrataxis,salicifolia,Lythraceae_Tetrataxis_salicifolia,,,dry,50,50,50,0.9,1.2,0.2,0.5,NA,NA,12mm,NA,NA,NA,13-15 mm; 15 mm,Lythraceae,Tetrataxis,salicifolia
Fabian Michelangeli,Melastomataceae,Tetrazygia,urceolata,Melastomataceae_Tetrazygia_urceolata,Melastomatoideae,Miconieae,fleshy,NA,NA,NA,NA,NA,NA,NA,insects,biotic,5,NA,NA,NA,4.5,Melastomataceae,Tetrazygia,urceolata
Peter Wilson,Myrtaceae,Thaleropia,hypargyrea,Myrtaceae_Thaleropia_queenslandica,Tristanieae,,dry,NA,NA,,1,1,NA,NA,vertebrates,biotic,9–10 mm ,NA,NA,NA,3–3.5 mm ,Myrtaceae,Thaleropia,hypargyrea
Peter Wilson,Myrtaceae,Thryptomene,australis,Myrtaceae_Thryptomene_australis,Chamelaucieae,Thryptomeninae,dry,1,2,,1.4,1.4,NA,NA,insects,biotic,6–7 mm,NA,NA,NA,1.5(–2) mm,Myrtaceae,Thryptomene,australis
Fabian Michelangeli,Melastomataceae,Tibouchina,aspera,Melastomataceae_Tibouchina_aspera,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,9; 15,NA,NA,NA,7; 8,Melastomataceae,Tibouchina,aspera
Fabian Michelangeli,Melastomataceae,Tibouchinopsis,mirabilis,Melastomataceae_Tibouchinopsis_mirabilis,Melastomatoideae,Melastomateae,dry,100,100,100,0.8,0.8,0.8,0.8,insects,biotic,17,NA,NA,NA,5,Melastomataceae,Tibouchinopsis,mirabilis
Darin Penneys,Melastomataceae,Tigridiopalma,magnifica,Melastomataceae_Tigridiopalma_magnifica,Melastomatoideae,Sonerileae,dry,100,100,100,NA,NA,NA,NA,insects,biotic,22; 22; 22,NA,NA,NA,,Melastomataceae,Tigridiopalma,magnifica
