Family,Genus,Species,tip_tree,tip_name
Myrtaceae,Heteropyxis,natalensis,Heteropyxis_natalensis,Heteropyxis_natalensis
Melastomataceae,Heterocentron,elegans,Heterocentron_elegans,Heterocentron_elegans
Melastomataceae,Henriettella,tovarensis,Henriettella_tovarensis,Henriettella_tovarensis
Melastomataceae,Henriettea,squamata,Henriettea_squamata,Henriettea_squamata
Lythraceae,Heimia,salicifolia,Heimia_salicifolia,Heimia_salicifolia
Melastomataceae,Guyonia,tenella,Guyonia_tenella,Guyonia_tenella
Combretaceae,Guiera,senegalensis,Guiera_senegalensis,Guiera_senegalensis
Melastomataceae,Gravesia,vestita,Gravesia_vestita,Gravesia_vestita
Melastomataceae,Graffenrieda,cucullata,Graffenrieda_cucullata,Graffenrieda_cucullata
Onagraceae,Gongylocarpus,rubricaulis,Gongylocarpus_rubricaulis,Gongylocarpus_rubricaulis
Penaeaceae,Glischrocolla,formosa,Glischrocolla_formosa,Glischrocolla_formosa
Lythraceae,Ginoria,nudiflora,Ginoria_nudiflora,Ginoria_nudiflora
Onagraceae,Gayophytum,diffusum,Gayophytum_diffusum,Gayophytum_diffusum
Lythraceae,Galpinia,transvaalica,Galpinia_transvaalica,Galpinia_transvaalica
Onagraceae,Fuchsia,excorticata,Fuchsia_excorticata,Fuchsia_excorticata
Melastomataceae,Fritzschia,erecta,Fritzschia_erecta,Fritzschia_erecta
Melastomataceae,Fordiophyton,strictum,Fordiophyton_strictum,Fordiophyton_strictum
Myrtaceae,Euryomyrtus,maidenii,Euryomyrtus_maidenii,Euryomyrtus_maidenii
Onagraceae,Eulobus,californicus,Eulobus_californicus,Eulobus_californicus
Myrtaceae,Eugenia,uniflora,Eugenia_uniflora,Eugenia_uniflora
Myrtaceae,Eucalyptus,cloeziana,Eucalyptus_cloeziana,Eucalyptus_cloeziana
Myrtaceae,Eucalyptopsis,papuana,Eucalyptopsis_papuana,Eucalyptopsis_papuana
Melastomataceae,Ernestia,maguirei,Ernestia_maguirei,Ernestia_maguirei
Vochysiaceae,Erismadelphus,exsul,Erismadelphus_exsul,Erismadelphus_exsul
Vochysiaceae,Erisma,arietinum,Erisma_arietinum,Erisma_arietinum
