"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"8173",-43.2747734944595,NA,NA,0.593031889983513,1.4959912953409,NA,-0.134873537820801,"+",0.0954881890647868,0.153606051323412,0.0742403640067775,-0.279445047910968,6.8722278923297,0.460720984679291,NA,12,-379.025922451222,783.516633634839,22.5834761171635,1.52670499284773e-07,0.113
"9565",-3.73216030433522,NA,NA,0.467957423418554,-0.192092595207435,"+",NA,"+",NA,0.0460842298338325,NA,-0.603500086600685,NA,NA,"+",9,-382.343215193663,783.519763720659,22.5866062029831,1.52431750277282e-07,0.087
"11554",-19.352506223139,0.89347652283159,NA,NA,NA,NA,-0.233488563819839,NA,NA,0.114173870115117,NA,0.372542193846682,2.35280709096814,NA,"+",8,-383.432227172434,783.528048814914,22.5948912972382,1.51801600681378e-07,0.078
"10393",-25.3165317154722,NA,NA,NA,1.35040024406565,"+",NA,NA,0.0961575870494994,NA,NA,NA,3.3362816138557,NA,"+",7,-384.507285413856,783.528332295602,22.595174777926,1.51780085795092e-07,0.069
"11426",-18.9922850692184,0.915997864144845,NA,NA,NA,NA,-0.229290132255825,NA,0.104561692328172,NA,NA,0.380788038406134,2.21079349368501,NA,"+",8,-383.432503901861,783.528602273767,22.5954447560919,1.51759598523312e-07,0.078
"10804",21.9360631114522,0.697143450955247,-6.13593393126971,NA,NA,"+",-0.16568545604356,NA,NA,NA,0.126365875680817,NA,1.21556059594887,NA,"+",9,-382.348124748873,783.52958283108,22.5964253134044,1.51685212267756e-07,0.087
"12554",-17.4354005562315,1.10736535818054,NA,NA,1.13395883959892,NA,NA,NA,NA,0.0901683561443923,NA,NA,NA,0.810409569325127,"+",7,-384.509144843541,783.532051154972,22.5988936372961,1.5149812362362e-07,0.069
"14255",96.3750299195768,NA,-17.4924657033077,0.492904902997493,0.583759434827692,NA,0.0275592213731066,NA,0.0424352744487806,0.0623830049283203,0.0694624226745367,-0.632289621717488,NA,-1.78758343073175,"+",12,-379.034547814428,783.533884361251,22.6007268435751,1.51359323589869e-07,0.113
"12866",-10.2190330020314,1.11123073446862,NA,NA,NA,NA,NA,"+",NA,NA,0.0965442957896167,NA,NA,0.294051638888853,"+",7,-384.511411384588,783.536584237067,22.6034267193911,1.51155135752684e-07,0.069
"8255",58.3169764830725,NA,-11.8725627774577,0.217361695802074,0.64397987261512,"+",-0.218912834607854,NA,NA,NA,NA,NA,NA,NA,"+",8,-383.436668054187,783.536930578419,22.6037730607438,1.51128962381886e-07,0.078
