tip,to_drop
Myrtaceae_Eugenia_biflora,x
Myrtaceae_Eugenia_bimarginata,x
Myrtaceae_Eugenia_involucrata,x
Myrtaceae_Eugenia_longohypanthiata,x
Myrtaceae_Eugenia_moschata,x
Myrtaceae_Eugenia_paludosa,x
Myrtaceae_Eugenia_pistaciifolia,x
Myrtaceae_Eugenia_pyriformis,x
Myrtaceae_Eugenia_speciosa,x
Myrtaceae_Eugenia_tinifolia,x
Myrtaceae_Eugenia_uniflora,keep
Myrtaceae_Euryomyrtus_maidenii,keep
Myrtaceae_Feijoa_sellowiana_Acca,keep
Myrtaceae_Gossia_clusioides,keep
Myrtaceae_Heteropyxis_natalensis,keep
Myrtaceae_Homalospermum_firmum,keep
Myrtaceae_Homoranthus_thomasii,keep
Myrtaceae_Hottea_neibensis,x
Myrtaceae_Hypocalymma_augustifolium,keep
Myrtaceae_Kanakomyrtus_,keep
Myrtaceae_Kania_eugenioides,keep
Myrtaceae_Kardomia_jucunda_Baeckea,keep
Myrtaceae_Kjellbergiodendron_,keep
Myrtaceae_Kunzea_,keep
Myrtaceae_Lamarchea_hakeifolia,keep
Myrtaceae_Lenwebbia_lasiocladum,keep
Myrtaceae_Leptospermum_erubescens,keep
Myrtaceae_Lindsayomyrtus_racemoides,keep
Myrtaceae_Lithomyrtus_grandifolia,keep
Myrtaceae_Lophomyrtus_obcordata,keep
Myrtaceae_Lophostemon_confertus,keep
Myrtaceae_Luma_apiculata,keep
Myrtaceae_Lysicarpus_angustifolius,keep
Myrtaceae_Malleostemon_,keep
Myrtaceae_Melaleuca_comboynensis_Callistemon,keep
Myrtaceae_Melaleuca_quinquenervia,x
Myrtaceae_Melaleuca_thymoides,x
Myrtaceae_Metrosideros_angustifolia,keep
Myrtaceae_Metrosideros_nervulosa,x
Myrtaceae_Metrosideros_stipularis_Tepualia,x
Myrtaceae_Micromyrtus_obovata,keep
Myrtaceae_Mitrantia_bilocularis,keep
Myrtaceae_Myrceugenia_alpigena,keep
