"","genus","Family","most_common_life_form","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","fm_scoring_corolla_diam","n_points","Vol","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9","seed.length.mean","niche_through_time"
"Melastomataceae_Siphanthera","Siphanthera","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.31,0.5,0.15,0.32,"insects","biotic",2.07944154167984,307,3.32195055402904,5.69148215367961,4.16203184643136,5.69564926322811,5.68602787818265,7.64106304572335,4.1390298116966,6.86752698086018,5.06887981192634,-0.655386926919586,5.28485092502899,3.46758015325944,3.91997906129137,2.81853744089578,0.52,0.48,"closed","open","closed",19.329,19,0.152,0.119,0.053,-0.903868211875598,0.360343995204423
"Myrtaceae_Siphoneugena","Siphoneugena","Myrtaceae","woody","Fleshy",1,4,0.916290731874155,7,7,NA,NA,"insects","biotic",1.6094379124341,270,3.57147697569245,5.68124151673965,4.26846915215462,5.68875611557938,5.6716859853672,7.36863006153047,4.06822830616154,6.59657197247667,4.87723167207684,0.041066533581991,5.23158249814323,3.63284671920171,3.96023597519216,2.86856173783457,0.7,0.3,"closed","closed","closed",17.444,14,0.151,0.116,0.048,1.94591014905531,0.712481225711932
"Melastomataceae_Sonerila","Sonerila","Melastomataceae","woody","Dry",50,50,3.91202300542815,0.4,0.8,NA,NA,"insects","biotic",3.06805293513362,264,3.73575842217131,5.6918663641765,4.0463801255303,5.70035166801871,5.68082425194857,7.74578390790807,3.92771624080454,6.89603892004453,5.55637525990779,-0.179513796829519,5.21370602177718,4.09096855867546,3.96467417854962,2.84115696739106,0.92,0.08,"closed","closed","closed",26.062,190,0.201,0.175,0.115,-0.51082562376599,0.475280107448599
"Lythraceae_Sonneratia","Sonneratia","Lythraceae","woody","Fleshy",100,1000,6.30991827822652,5,12,4,10,"vertebrates","biotic",1.79175946922805,185,3.4250006288309,5.7026068886477,3.72090093515539,5.70719611641377,5.69657087022764,7.74194382598916,4.17358538774897,7.01046882935249,5.42227724495733,-0.949569290415224,5.24622088339672,4.25958419586609,4.00541388236895,2.88774300271572,0.57,0.43,"closed","open","closed",31.902,9,0.069,0.05,0.018,2.14006616349627,-0.0376680749193564
"Melastomataceae_Spathandra","Spathandra","Melastomataceae","woody","Fleshy",1,2,0.405465108108164,2,3,NA,NA,"insects","biotic",1.6094379124341,30,0.596630835908445,5.69760021977898,3.64173138026882,5.70126144058948,5.6931411071741,7.68052317689816,4.20825061576806,7.01028959767373,4.06584047316073,-1.42395637012278,5.29426624985525,3.90977551884435,3.90457902392988,2.85459965282273,0.7,0.3,"closed","closed","closed",23.596,3,0.047,0.029,0.008,0.916290731874155,-2.56444637023238
"Myrtaceae_Sphaerantia","Sphaerantia","Myrtaceae","woody","Dry",1,3,0.916290731874155,5,6,NA,NA,NA,NA,2.39789527279837,9,-1.61561971242112,5.69019865405456,3.8374781484964,5.70008552370457,5.67743319124802,7.91899670173088,4.25958970380853,7.35476142858986,5.40599043370478,0.234622598158216,5.04271430794128,3.62569164812352,3.97744686353426,2.79773387493676,0.96,0.04,"closed","closed","closed",45.956,2,0.015,0.009,0.002,1.70474809223843,-5.44330412941224
"Melastomataceae_Stenodon","Stenodon","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.6,0.8,0.3,0.4,"insects","biotic",4.28358656186063,31,-0.90383388909453,5.69158988023046,4.36387363515661,5.69747695113474,5.68633224069745,7.31251931079057,4.39208054058543,6.68581042851427,2.77552301906232,-0.540379859693305,5.28923764171241,3.09110303606129,3.98551473241584,2.77772425382073,0,1,"open","open","open",5.84199999999998,2,0.119,0.069,0.016,-0.356674943938732,-2.66890709306008
"Myrtaceae_Stenostegia","Stenostegia","Myrtaceae","woody","Dry",6,9,2.35137525716348,0.6,0.6,NA,NA,"insects","biotic",1.6094379124341,2,-6.13217831733441,5.70421849612148,4.58872892718856,5.71498900737691,5.68695474512412,6.66222392727781,4.7329555216763,6.26028143114839,1.21470971564128,-2.22992531492752,4.60439716313128,3.02329215702641,4.20886437246677,2.56225463526484,0,1,"open","open","open",37.726,1,0,0,0,-0.510825623765991,-9.76252782925795
"Myrtaceae_Stockwellia","Stockwellia","Myrtaceae","woody","Dry",NA,NA,NA,8,11,5,6,"insects","biotic",NA,5,-6.13217831733441,5.68979350887645,3.75822092816203,5.69939727863045,5.67955341828044,7.97322240582292,4.23380872590828,7.41032464785638,5.48931722597338,0.268270116738295,5.05173192863386,3.8338214102719,3.97601251843784,2.84664503605522,0.72,0.28,"closed","closed","closed",29.21,1,0,0,0,2.2512917986065,-9.50668943373406
"Combretaceae_Strephonema","Strephonema","Combretaceae","woody","Fleshy",40,70,0,60,70,35,70,"insects","biotic",2.77258872223978,69,1.16642675306722,5.69661654256603,3.7988952593334,5.70058710124888,5.69201620530811,7.66653950290377,4.17474773123725,6.97612980789204,4.1487317766604,-1.1692839150189,5.29072632617367,3.59955277078737,3.90342723315041,2.76211163593138,0.93,0.07,"closed","closed","closed",100.245,4,0.014,0.009,0.003,4.17438726989564,-3.44119043656392
"Melastomataceae_Styrophyton","Styrophyton","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.6,0.7,NA,NA,"insects","biotic",1.09861228866811,7,-1.35220722056893,5.67790888869723,4.12443386521994,5.69473112647887,5.65318103203948,7.37428431628368,4.36676981513327,6.79898889514203,4.29651409512454,0.0156421726410348,5.2029395387015,3.61584885413808,4.05255849660295,2.85269090375526,1,0,"closed","closed","closed",12.731,1,0,0,0,-0.430782916092454,-3.89624718464844
